stack,nb_occurences,hunspell_bo
ཀྱི༵,351,0
ཌཱི,351,0
ཛྱེ,351,0
༹,350,1
ཙྱ,350,0
གྷཾ,347,0
ཀྨོ,345,0
ཐཱཾ,345,0
རྔེ,344,1
རྨྱ,344,1
ཧྥི,343,1
སྣྲོ,342,1
སྤྲྀ,341,0
མྦཱི,340,0
པྡ,339,0
རྻཱ,338,0
ཁཱི,336,0
པྟཱ,336,0
རྠི,335,0
ཥྱོ,335,0
སཻ,333,0
ཀྲཱྀ,332,0
ཎྚ,331,0
པཽ,331,0
ཥྚུ,331,0
ནྡོ,330,0
དྷྭཾ,329,0
ཝྃ,329,0
ནྱི,327,0
པྤ,327,0
ཛྱཱ,327,0
ཌཾ,326,0
ཏེ༷,326,0
དྡྷྱ,326,0
སྒྱོ,326,1
ཞི༵,325,0
ཥྚྲྀ,325,0
དུ༵,324,0
དྭོ,321,1
ཉི༷,320,0
་༷,319,0
སྔུ,319,1
ཐོ༷,318,0
བྷྲི,318,0
གྣེ,317,0
འོ༷,317,0
ནྡྷཾ,314,0
ཀྟེ,313,0
གྲོ༷,313,0
ཆོ༷,313,0
ནྶ,312,0
ཚོ༷,312,0
ཊོ,310,0
ནྃ,310,0
སཱཾ,310,0
སྟེ༷,310,0
དྦྷ,309,0
ཤྱཱ,309,0
སྭེ,309,1
སྐཱ,308,0
ཏྶུ,305,0
ཆེ༵,303,0
དྡྷྲོ,303,0
ཤྲྀ,301,0
ཨཱོ,301,0
སྦྲོ,297,1
ཤླཽ,293,0
བཱུ,292,0
ཏུ༷,291,0
ཐྱ,290,0
ཏྲཱུ,288,0
ཚེ༷,288,0
ཀྱི༷,287,0
ཁ༷,287,0
ཧྲོ,287,1
ཏྣེ,285,0
ཀྟྲི,282,0
ནྭ,282,0
ཤྨ,282,0
ཤྭི,282,0
གྷྣཾ,280,0
དྭཱི,280,0
ནྡྷཱ,279,0
ཏཱུ,277,0
སུ༷,276,0
དྷྲི,274,0
ཥྠ,274,0
ནྟོ,273,0
སྱཻ,273,0
ཀྟྭཱ,272,0
ཙླི,270,0
ཧཽ,270,0
ཪྻཱ,270,0
ཏྱཻ,269,0
པྲཱི,269,0
མི༵,269,0
རྦེ,269,1
འེ,267,1
ཋེ,264,0
གྱི༷,262,0
ངྒི,262,0
ནྡྷོ,262,0
ཙྩ,262,0
ཉྲ,260,0
ཏྐཱ,260,0
རུཾ,260,0
ཋོ,259,0
ཏྶཱ,258,0
ནྣཱ,258,0
བྦ,258,0
ཧྥོ,258,1
རཱཾ,256,0
ཀྟཾ,254,0
ཝུ,254,1
ཚཱ,252,0
ཏྒ,251,0
ཀཱཾ,249,0
ཀྲཾ,249,0
ཕྲེཾ,249,0
ཤྱཾ,248,0
ཀྵྨ,247,0
དུཾ,247,0
རྒེ,247,1
ཤཽ,247,0
ཀྵུཾ,246,0
ཡུཾ,246,0
ཀྨ,245,0
གོ༷,245,0
ལླཱི,245,0
ཀུཾ,244,0
མོཾ,244,0
ནྟྲི,243,0
ཙཻ,243,0
རྫྫ,243,0
ཤེ༷,243,0
སྶ,243,0
ནྡྲཱ,242,0
གེ༷,241,0
ཏིཾ,240,0
ནྟཱི,240,0
ཨྱེ,240,0
ནི༵,237,0
མྺཱ,237,0
ཙྱཻ,237,0
ཟ༷,237,0
བྷྲུཾ,236,0
ཏྭི,235,0
ཐཻ,235,0
ནཱུ,235,0
སོ༵,235,0
ཆ༷,234,0
ཙྪུ,234,0
ཊྣ,233,0
ཌོཾ,233,0
ཤྱེ,233,0
ཀྴི,231,0
ངོ༷,231,0
ཕཻཾ,231,0
ཧྭཱ,231,0
ཕ༷,230,0
བྟ,230,0
གྃ,228,0
ཨིཾ,228,0
ནྱོ,227,0
བིཾ,227,0
ངྃ,226,0
ཏྨཱ,226,0
ནྡྲི,225,0
འིི,225,0
བྲཱུ,224,0
ལོ༷,224,0
ཁོ༵,223,0
བུ༷,220,0
ཛྱོ,220,0
རྟཱ,220,0
ཌྱ,219,0
དྷྭེ,219,0
ནྠི,219,0
ནྱེ,219,0
ཤྲོ,219,0
ངཾ,216,0
མྨ,215,0
གཱུ,213,0
པྟེ,213,0
རྴ,213,0
དྃ,212,0
ཀྃ,211,0
རྞུ,210,0
ཨཱེ,210,0
ཡོཾ,209,0
ཆོ༵,208,0
མེ༵,207,0
ཚ༷,207,0
ཥྚོ,206,0
ཛྲིཾ,204,0
སྥཱ,204,0
ཀྱཱ,203,0
ཕཱ,203,0
ཡི༵,203,0
ཎྜོ,202,0
ཛྲཱིཾ,202,0
ཛྷཻཾ,202,0
